Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
="14:14:34.332.139.485 (Nov-19-2024)",="30",="1",="2",="GetTemp(01)",=" ",="EF",="26 F1",="09",="Data rate:980.4KHz; Temp.:40.594",
="14:15:02.394.273.145",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 00 01 00 00",="A3",=" ",
="14:17:03.643.481.915",="30",="1",="2",="GetTemp(01)",=" ",="EF",="8B F1",="F8",="Temp.:42.172",
="14:17:03.654.173.635",="31",="1",="2",="GetTemp(01)",=" ",="F9",="15 F2",="C6",="Temp.:44.328",
="14:17:04.670.102.525",="30",="1",="2",="GetTemp(01)",=" ",="EF",="6E F1",="FA",="Temp.:41.719",
="14:17:04.681.426.610",="31",="1",="2",="GetTemp(01)",=" ",="F9",="14 F2",="D3",="Temp.:44.313",
="14:17:05.202.294.355",="30",="5",="5",="RdPkgConfig(A1)",="00 10 00 00",="4D",="40 00 08 65 00",="2D",=" ",
="14:17:05.202.557.005",="30",="5",="5",="RdPkgConfig(A1)",="00 02 00 00",="39",="40 6C F1 00 00",="72",=" ",
="14:17:05.202.808.570",="30",="5",="5",="RdPkgConfig(A1)",="00 10 00 00",="4D",="40 00 08 65 00",="2D",=" ",
="14:17:05.204.958.655",="31",="5",="5",="RdPkgConfig(A1)",="00 10 00 00",="5E",="40 00 08 65 00",="2D",=" ",
="14:17:05.205.971.570",="31",="5",="5",="RdPkgConfig(A1)",="00 02 00 00",="2A",="40 13 F2 00 00",="2F",=" ",
="14:17:05.206.962.390",="31",="5",="5",="RdPkgConfig(A1)",="00 10 00 00",="5E",="40 00 08 65 00",="2D",=" ",
="14:17:05.237.953.965",="30",="5",="5",="RdPkgConfig(A1)",="00 0A 00 00",="68",="40 94 0C 00 00",="3C",=" ",
="14:17:05.242.938.045",="31",="5",="5",="RdPkgConfig(A1)",="00 0A 00 00",="7B",="40 ED 0B 00 00",="BE",=" ",
="14:17:05.491.110.690",="30",="5",="5",="RdPkgConfig(A1)",="00 0E 0B 00",="54",="40 00 00 00 00",="C8",=" ",
="14:17:05.699.017.335",="30",="1",="2",="GetTemp(01)",=" ",="EF",="67 F1",="47",="Temp.:42.609",
="14:17:05.711.778.425",="31",="1",="2",="GetTemp(01)",=" ",="F9",="14 F2",="D3",="Temp.:45.313",
="14:17:06.375.124.580",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:06.375.426.530",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.375.713.325",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 0E 20 00 40",="88",=" ",
="14:17:06.376.007.260",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00 1E 00 00 00 82",="89",="90",="F9",=" ",
="14:17:06.376.390.340",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.386.700.600",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.397.028.345",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.407.359.860",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.417.685.650",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.427.990.295",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.438.297.120",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.448.605.850",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.458.919.585",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.469.227.575",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.480.156.870",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 0E 20 00 00 0C",="89",="40",="C7",=" ",
="14:17:06.493.816.710",="30",="5",="5",="RdPkgConfig(A1)",="00 0E 0A 00",="41",="40 00 00 00 00",="C8",=" ",
="14:17:06.525.137.025",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:06.525.432.125",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.525.718.130",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 0F 20 00 40",="9E",=" ",
="14:17:06.526.017.765",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 25",="89",="40",="C7",=" ",
="14:17:06.526.325.160",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="9A",="40 00 00 00 00",="C8",=" ",
="14:17:06.526.624.615",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="A5",="40 01 00 00 80",="57",=" ",
="14:17:06.526.943.420",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 09 00 00 00",="6E",=" ",
="14:17:06.527.257.930",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 0B 00 50 E2 F4",="89",="40",="C7",=" ",
="14:17:06.527.570.825",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 09 00 00 00",="6E",=" ",
="14:17:06.527.871.975",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 16",="89",="40",="C7",=" ",
="14:17:06.528.172.810",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 1B 00 00 00",="25",=" ",
="14:17:06.528.463.610",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="0F",="40 02 00 00 01",="E3",=" ",
="14:17:06.528.756.085",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 0B 00 00 00",="42",=" ",
="14:17:06.529.044.310",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E7",="40 23 47 00 00",="AC",=" ",
="14:17:06.529.346.315",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 0F 20 00 00 1A",="89",="40",="C7",=" ",
="14:17:06.575.113.270",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:06.575.412.080",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.575.700.165",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 10 20 00 40",="2B",=" ",
="14:17:06.575.992.840",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 25",="89",="40",="C7",=" ",
="14:17:06.576.311.905",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="9A",="40 00 00 00 00",="C8",=" ",
="14:17:06.576.624.640",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="A5",="40 01 00 00 80",="57",=" ",
="14:17:06.576.944.470",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 09 00 00 00",="6E",=" ",
="14:17:06.577.244.325",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 13 00 54 E2 77",="89",="40",="C7",=" ",
="14:17:06.577.564.655",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 09 00 00 00",="6E",=" ",
="14:17:06.577.864.860",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 16",="89",="40",="C7",=" ",
="14:17:06.578.173.830",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 1B 00 00 00",="25",=" ",
="14:17:06.578.483.100",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="0F",="40 02 00 00 02",="EA",=" ",
="14:17:06.578.784.440",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="33",="40 0B 00 00 00",="42",=" ",
="14:17:06.579.081.865",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E7",="40 23 47 00 00",="AC",=" ",
="14:17:06.579.388.230",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 10 20 00 00 AF",="89",="40",="C7",=" ",
="14:17:06.628.114.365",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 37 E4",="61 (Error)",=" ",
="14:17:06.628.415.065",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.628.705.505",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 11 20 00 40",="3D",=" ",
="14:17:06.628.999.415",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00 1E 00 00 00 82",="89",="90",="F9",=" ",
="14:17:06.629.318.040",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.639.627.200",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.649.935.340",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.660.244.965",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.670.561.360",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.680.885.040",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.691.186.405",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.701.506.510",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.711.824.150",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.722.146.090",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="3E",="90 00 00 00 00",="A5",=" ",
="14:17:06.723.184.065",="30",="1",="2",="GetTemp(01)",=" ",="EF",="63 F1",="13",="Temp.:42.547",
="14:17:06.733.016.040",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 11 20 00 00 B9",="89",="40",="C7",=" ",
="14:17:06.733.478.740",="31",="1",="2",="GetTemp(01)",=" ",="F9",="14 F2",="D3",="Temp.:45.313",
="14:17:06.759.128.885",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:06.759.444.520",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
