Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
15:47:43.343.259.105 (Nov-11-2024),30,5,5,RdPkgConfig(A1),00 0E 0B 00,54,40 00 00 00 00, ,Data rate:980.4KHz
15:47:43.343.377.390,80, , , , , , , , 
15:47:43.478.304.430,00, , , , , , , , 
15:47:43.478.324.685,03, , , , , , , , 
15:47:43.478.341.855,C0, , , , , , , , 
15:47:43.478.353.975,80, , , , , , , , 
15:47:43.488.565.180,31,1,2,GetTemp(01), ,F9,57 F2,B7,Temp.:45.359
15:47:43.734.622.535,30,5,5,RdPkgConfig(A1),00 10 00 00,4D, , , 
15:47:43.734.700.425,00,1,12,A0, ,05 (Error), , , 
15:47:43.734.812.485,30,5,5,RdPkgConfig(A1),00 02 00 00,2C (Error), , , 
15:47:43.734.889.955,18,0,0, , ,00, , , 
15:47:43.734.925.660,0C, , , , , , , , 
15:47:43.744.955.730,30,5,5,RdPkgConfig(A1),01 02 00 00,2F,40 22 F2 00 00, , 
15:47:43.745.077.150,03,0,80, , ,5A, , , 
15:47:43.745.178.330,40,8,0,00, , , , , 
15:47:43.745.224.790,00,1, , , , , , , 
15:47:43.745.250.040,04, , , , , , , , 
15:47:43.747.367.155,31,5,5,RdPkgConfig(A1),00 10 00 00,4A (Error), , , 
15:47:43.747.442.585,80,0,33, , ,94, , , 
15:47:43.748.363.140,31,5,5,RdPkgConfig(A1),00 02 00 00,25 (Error),20 2A F9 00 00,60, 
15:47:43.749.365.580,31,5,5,RdPkgConfig(A1),00 10 00 00,4D (Error),90 00, , 
15:47:43.749.463.535,21, , , , , , , , 
15:47:43.749.481.890,58, , , , , , , , 
15:47:43.770.540.230,0A,22,132,00,28 00 01 A1 03 7C 2C 00 00, , , , 
15:47:43.772.378.445,31,5,5,RdPkgConfig(A1),00 0A 00 00,7B,40, , 
15:47:43.772.469.180,0B,0,0, , , , , , 
15:47:44.033.019.390,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 A0 81 81 00,D8 (Error), , , 
15:47:44.033.155.085,01, , , , , , , , 
15:47:44.033.168.340,EE, , , , , , , , 
15:47:44.033.188.740,88, , , , , , , , 
15:47:44.033.266.240,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 CC 81 81 00,62 (Error), , , 
15:47:44.033.398.875,80,2, , , , , , , 
15:47:44.033.508.470,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 88 21 E0 01,0A,40 C0 18 00 40,56, 
15:47:44.033.757.780,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 04 00 00 00,A4 (Error), , , 
15:47:44.033.909.790,00, , , , , , , , 
15:47:44.033.924.070,00,4,2, , , , , , 
15:47:44.034.020.925,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09 00 00 00,6E, 
15:47:44.034.288.450,30,19,1,WrEndPointConfig(C5),12 05 00 00 00 05 FF F3 FE C0 00 00 00 03 00 56 E2 3A,89,40,C7, 
15:47:44.034.549.910,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33, , , 
15:47:44.034.701.920,00, , , , , , , , 
15:47:44.034.713.140,80,0,0, , ,6E, , , 
15:47:44.034.810.720,30,19,1,WrEndPointConfig(C5),12 05 00 00 00 05 FF F3 FE C0 00 00 00 00 80 20 00 77,89,40,C7, 
15:47:44.035.073.080,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,04 (Error), , , 
15:47:44.035.218.975,D0, , , , , , , , 
15:47:44.035.236.315,81,0,0, , ,DF, , , 
15:47:44.035.340.485,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0F,40 00 00 00 50, , 
15:47:44.045.631.305,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0A (Error), , , 
15:47:44.045.783.315,00,0,0, , ,00, , , 
15:47:44.045.819.010,64, , , , , , , , 
15:47:44.055.908.810,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0E (Error), , , 
15:47:44.056.060.825,00,0,0, , ,00, , , 
15:47:44.056.096.520,64, , , , , , , , 
15:47:44.066.182.145,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0C (Error), , , 
15:47:44.066.332.670,00,0,0, , ,00, , , 
15:47:44.066.368.020,64, , , , , , , , 
15:47:44.076.442.190,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0F,40 00 00 00 00,C8, 
15:47:44.086.703.860,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,08 (Error), , , 
15:47:44.086.855.795,00,0,0, , ,00, , , 
15:47:44.086.896.595,80, , , , , , , , 
15:47:44.096.967.900,01, , , , , , , , 
15:47:44.096.980.155,0B, , , , , , , , 
15:47:44.096.991.375,11, , , , , , , , 
15:47:44.097.013.815,00,0,0, , ,2F, , , 
15:47:44.097.058.695,FF, , , , , , , , 
15:47:44.097.072.975,40,0,0, , ,00, , , 
15:47:44.097.113.775,00,0,0, , ,00, , , 
15:47:44.097.149.475,42, , , , , , , , 
15:47:44.107.217.205,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0E (Error), , , 
15:47:44.107.369.140,00,0,0, , ,00, , , 
15:47:44.107.404.835,52, , , , , , , , 
15:47:44.117.474.055,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0E (Error), , , 
15:47:44.117.626.070,00,0,0, , ,00, , , 
15:47:44.117.661.770,64, , , , , , , , 
15:47:44.127.736.745,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE C4 00 00 00,0F,40 00 00 00 00,C8, 
15:47:44.138.072.815,30,17,1,WrEndPointConfig(C5),00 03 00 00 00 04 00 C8 21 E0 01 C0, , , , 
15:47:44.138.210.210,00,0,210, , ,89, , , 
15:47:44.138.247.580,0C, , , , , , , , 
15:47:44.143.342.600,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 A0 81 81 00,DB,40, , 
15:47:44.143.491.475,C7, , , , , , , , 
15:47:44.143.511.875,81, , , , , , , , 
15:47:44.143.591.995,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 CC 81 81 00,66,40, , 
15:47:44.143.837.735,30,12,5,RdEndPointConfig(C1),00 03 00 00 00 04 00 88 21 E0 01,0A,40 C1 18 00 40,40, 
15:47:44.144.076.730,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 04 00 00 00,29 (Error),50 00, , 
15:47:44.144.242.945,00,4, , , , , , , 
15:47:44.144.330.220,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33,40 09 02 00 00, , 
15:47:44.144.526.015,06,2,96,38,A2,40 (Error),A0 00 00 00 BF FE 7F D8 00 00 00 01 60 0A DC 51 51 28 18, , 
15:47:44.144.839.850,30,14,5,RdEndPointConfig(C1),12 05 00 00 00 05 FF F3 FE 20 00 00 00,33, , , 
15:47:44.144.991.780,00, , , , , , , , 
15:47:44.145.003.005,81,0,0, , ,B8, , , 
15:47:44.145.092.040,30,19,1,WrEndPointConfig(C5),12 05 00 00 00 05 FF F3 FE C0 00 00 00 00 A0 20 00 34,89, , , 
15:47:44.145.293.015,60, , , , , , , , 
15:47:44.145.362.675,38, , , , , , , , 
15:47:44.145.382.055,22, , , , , , , , 
15:47:44.145.403.475,00,0,0, , ,2F, , , 
15:47:44.145.448.355,FF, , , , , , , , 
15:47:44.145.459.575,40,0,0, , ,00, , , 
15:47:44.145.497.315,28,2,64, , , , , , 
15:47:44.145.524.855,00,2, , , , , , , 
